Folios Goteo	Salida
319112	04/08/2015 13:57
319467	04/08/2015 10:59
319468	04/08/2015 12:57
327225	04/08/2015 14:12
330281	04/08/2015 13:22
336620	04/08/2015 13:10
337753	04/08/2015 13:45
337968	04/08/2015 13:06
338268	04/08/2015 12:37
341231	04/08/2015 11:16
348820	04/08/2015 11:35
353364	04/08/2015 13:25
354488	04/08/2015 12:32
360679	04/08/2015 13:10
373460	04/08/2015 10:13
374801	04/08/2015 12:36
375078	05/08/2015 11:27
376253	04/08/2015 11:44
379052	04/08/2015 10:57
382580	04/08/2015 12:59
388516	04/08/2015 13:57
388738	04/08/2015 12:38
389741	04/08/2015 11:21
390067	04/08/2015 14:13
390736	04/08/2015 16:53
392800	04/08/2015 13:59
394494	04/08/2015 09:16
406249	04/08/2015 13:25
410341	04/08/2015 11:21
414784	04/08/2015 13:11
415485	04/08/2015 12:32
416452	04/08/2015 10:43
418519	04/08/2015 12:19
419483	04/08/2015 10:25
420515	04/08/2015 10:39
422776	04/08/2015 11:58
424526	04/08/2015 13:27
424827	04/08/2015 12:02
425921	04/08/2015 11:53
427485	04/08/2015 13:39
427683	05/08/2015 11:42
428480	04/08/2015 14:10
428662	04/08/2015 10:08
429299	04/08/2015 10:09
429573	04/08/2015 11:26
435578	#N/A
436352	04/08/2015 11:54
436867	04/08/2015 12:39
442418	05/08/2015 13:26
444236	04/08/2015 18:14
448982	04/08/2015 14:52
450034	04/08/2015 11:53
456441	04/08/2015 08:33
460507	04/08/2015 11:28
460970	05/08/2015 12:38
462246	04/08/2015 11:24
462996	04/08/2015 14:46
465785	04/08/2015 10:50
465801	04/08/2015 11:09
468581	04/08/2015 14:14
469377	04/08/2015 12:20
469794	04/08/2015 10:09
469968	04/08/2015 10:47
470319	04/08/2015 12:11
470454	04/08/2015 13:54
470487	04/08/2015 10:39
472902	04/08/2015 14:37
473405	04/08/2015 12:48
473674	04/08/2015 11:40
482783	04/08/2015 15:17
487402	04/08/2015 12:20
488859	04/08/2015 09:08
314171	03/08/2015 16:28
434733	30/07/2015 19:48
350705	05/08/2015 09:53
